name,rate,image,glb_company_size,industry,review,salary,jobs,description,office_locations
UPS,-1.0,https://media.glassdoor.com/sql/3012/ups-squareLogo-1633526374628.png,1.0,Shipping & Trucking,-0.6659505907626209,-0.7743418303384872,-0.96603158018189,"Every day at UPS, our people are responsible for the movement of goods, funds and information in more than 200 countries and territories.

As UPS has evolved from a Seattle-based bike messenger company into a multi-billion-dollar global corporation, our team has held a singular focus—empowering commerce around the world. Today, UPS is the world's largest package delivery company and a leading global provider of specialized transportation and logistics services.

Whether we’re connecting with global giants or local mom and pop businesses, our people are at work improving distribution networks and managing supply chains—helping our customers to do what they do best. UPS makes the world work better.",-0.9804321239298818
KPMG,-0.4545454545454547,https://media.glassdoor.com/sql/2867/kpmg-squareLogo-1675929586261.png,1.0,Business Consulting,-0.3877551020408163,-0.8763058921855411,-0.8039725779109316,"KPMG LLP, the U.S. audit, tax and advisory services firm, operates from more than 100 offices with more than 32,000 employees and partners throughout the U.S. Our purpose is to turn knowledge into value for the benefit of our clients, our people, and the capital markets.

KPMG delivers a globally consistent set of multidisciplinary services based on deep industry knowledge. Our industry focus helps KPMG professionals develop a rich understanding of clients' businesses and the insight, skills, and resources required to address industry-specific issues and opportunities.",-0.9796167957602935
Best Buy,-0.8181818181818179,https://media.glassdoor.com/sql/97/best-buy-squareLogo-1650652693751.png,1.0,Consumer Electronics & Appliances Stores,-0.6337271750805585,-0.800668616798997,-0.9788257119401235,"At Best Buy, our purpose is to enrich lives through technology. To achieve this, over 100,000 employees provide solutions to our customers in over 1,000 locations, online, and in their homes.
 
We’re a community of courageous change-makers, ambitious collaborators, and inspiring friends. Whether it’s working as a Geek Squad Agent, an in-store advisor, or in our corporate office, we offer each other support and prepare for what might come next.
 
We wake up every morning so we can do our part in shaping the future of a changing world. Together, we raise the bar for what’s possible and dream up new solutions to problems we’ve never encountered. We master innovative skills that we didn’t know were within grasp and turn everyday interactions into human connections built to last.
 
If change motivates you, if technology inspires you — we’re here for you. Tomorrow works here.™

http://jobs.bestbuy.com",-0.9951080309824705
Cisco Systems,0.6363636363636376,https://media.glassdoor.com/sql/1425/cisco-systems-squareLogo-1702924319691.png,1.0,Enterprise Software & Network Solutions,-0.682062298603652,-0.6506477225240284,-0.9938374932031175,"#WeAreCisco, where each person is unique. We bring our talents to work as a team each day, helping power an inclusive future for all. Here's how we do it. 

At Cisco, we embody transformation and help our customers excel in their digital worlds. Some may think we're ""old"" (38+ years strong!) and only about hardware, but we're also a software company, a security company, a blockchain company, and an AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns, and protects. Our innovation never stops! 

Cisco values the perspectives and skillsets that arise from employees with diverse backgrounds. That's why Cisco is expanding the boundaries of discovering top talent by not only focusing on candidates with college degrees and experience but instead placing more emphasis on unlocking potential. 

As one of the leading forces in connecting the world, we understand our unique opportunity to bring communities together and create meaningful change for everyone, everywhere. That's why connecting starts within Cisco. Over 30,000 Cisconians participate in our Employee Resource Groups, called Inclusive Communities, where we network, learn to be informed allies, and help make a difference. 

Cisco didn't just build the Internet. We keep building it. And while our technology helps connect the unconnected, that's not where our edge comes from. It comes from our people—unique, innovative, and diverse. Be you, with us! ",-0.9812474520994701
Verizon,-0.4545454545454547,https://media.glassdoor.com/sql/89/verizon-squareLogo-1628778296366.png,1.0,Telecommunications Services,-0.6745435016111707,-0.8232344337651484,-0.9801264486688772,"You want more out of a career. A place to share your ideas freely — even if they’re daring or different. Where the true you can shine through. A space to create and connect with people who truly care. And where there’s the flexibility to focus on the passions that matter most.

Our network is built by people like you. We’re a human network that reaches across the globe and works behind the scenes. We anticipate, lead, and believe that listening is where learning begins. In crisis and in celebration, we come together—lifting up our communities and striving to make an impact to move the world forward.

So, if you're fueled by purpose, and powered by persistence, explore a career with us. Here, you’ll discover the rigor it takes to make a difference and the fulfillment that comes with living the #NetworkLife.

www.verizon.com/careers",-0.9828781084386465
Intel Corporation,0.0909090909090906,https://media.glassdoor.com/sql/1519/intel-corporation-squarelogo-1599065494667.png,1.0,Computer Hardware Development,-0.7056928034371643,-0.7597158378604263,-0.9425756719584617,"Intel’s mission is to shape the future of technology to help create a better future for the entire world. By pushing forward in fields like AI, analytics and cloud-to-edge technology, Intel’s work is at the heart of countless innovations. From major breakthroughs like self-driving cars and rebuilding the coral reefs, to things that make everyday life better like blockbuster effects and improved shopping experiences — they’re all powered by Intel technology. With a career at Intel, you have the opportunity to help make the future more wonderful for everyone.

Join us.",-0.9755401549123522
Capgemini,-0.6363636363636359,https://media.glassdoor.com/sql/3803/capgemini-squareLogo-1688367853815.png,1.0,Enterprise Software & Network Solutions,-0.22663802363050478,-0.8884245716673631,-0.876472657874255,"At Capgemini, we are driven by a shared purpose: Unleashing human energy through technology for an inclusive and sustainable future.

As a leading strategic partner to companies around the world, we have leveraged technology to enable business transformation for more than 50 years. We address the entire breadth of business needs, from strategy and design to managing operations. To do this, we draw on deep industry expertise and a command of the fast-evolving fields of cloud, data artificial intelligence, connectivity, software, digital engineering, and platforms.",-0.9567876070118223
US Navy,-0.6363636363636359,https://media.glassdoor.com/sql/41451/us-navy-squarelogo-1601323365030.png,-0.5134872155251634,National Agencies,-0.719656283566058,-0.812787296280819,-0.9989124988005501,"America’s Navy is the most versatile branch of the military, forging defense on land, in the air, and at sea. With opportunities across the globe and a commitment to serve the greater good, the Navy offers a life of fulfillment, advancement, and innovation to every Sailor.",-0.9812474520994701
Meta,-0.2727272727272727,https://media.glassdoor.com/sql/40772/meta-squareLogo-1636117276319.png,1.0,Internet & Web Services,-0.8506981740064447,-0.7312996239030507,-0.9532374484236563,"Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. ",-0.9845087647778231
Citi,-0.2727272727272727,https://media.glassdoor.com/sql/8843/citi-squareLogo-1686753614162.png,1.0,Investment & Asset Management,-0.6734693877551021,-0.8633514417049728,-0.9447080272515006,"Working at Citi is far more than just a job. A career with us means joining a family of more than 240,000 dedicated people from around the globe. At Citi, you’ll have the opportunity to grow your career, give back to your community and make a real impact.

Citi connects millions of people across hundreds of cities and countries every day through our unparalleled global network. With varying businesses and functions at each location, there are an abundance of opportunities beyond the work you’ll do with your team.

We are a dynamic, global organization fueled by talented individuals with diverse perspectives who work in a vast range of roles. Whatever your background, culture, role or experience, there is a place for you at Citi. 

Whether you’re at the start of your career or looking to discover your next adventure, your story begins here. At Citi, you’ll have the opportunity to expand your skills and make a difference at one of the world’s most global banks.

To find out more about the roles available in your region and apply, please visit www.jobs.citi.com",-0.9804321239298818
